CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2007
Print
Related Pages
< U.S. County Opioid Dispensing Rates, 2006

U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2008 >

US County Dispensing Rates, 2007
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2007
County	State	County FIPS Code	Opioid Dispensing Rate per 100
Bacon, GA	GA	13005	180.2
Baker, GA	GA	13007	–
Baldwin, GA	GA	13009	86.6
Banks, GA	GA	13011	18.8
Barrow, GA	GA	13013	91.0
Bartow, GA	GA	13015	103.3
Ben Hill, GA	GA	13017	147.1
Berrien, GA	GA	13019	100.8
Bibb, GA	GA	13021	148.4
Bleckley, GA	GA	13023	125.9
Brantley, GA	GA	13025	–
Brooks, GA	GA	13027	76.0
Bryan, GA	GA	13029	56.6
Bulloch, GA	GA	13031	90.7
Burke, GA	GA	13033	76.9
Butts, GA	GA	13035	91.8
Calhoun, GA	GA	13037	–
Camden, GA	GA	13039	93.6
Candler, GA	GA	13043	127.5
Carroll, GA	GA	13045	127.2
Catoosa, GA	GA	13047	133.8
Charlton, GA	GA	13049	88.8
Chatham, GA	GA	13051	96.6
Chattahoochee, GA	GA	13053	–
Chattooga, GA	GA	13055	118.3
Cherokee, GA	GA	13057	73.7
Clarke, GA	GA	13059	124.1
Clay, GA	GA	13061	119.1
Clayton, GA	GA	13063	54.1
Clinch, GA	GA	13065	115.0
Cobb, GA	GA	13067	75.7
Coffee, GA	GA	13069	150.4
Colquitt, GA	GA	13071	72.7
Columbia, GA	GA	13073	91.3
Cook, GA	GA	13075	82.3
Coweta, GA	GA	13077	86.2
Crawford, GA	GA	13079	–
Crisp, GA	GA	13081	180.4
Dade, GA	GA	13083	65.8
Dawson, GA	GA	13085	134.5
Decatur, GA	GA	13087	110.1
DeKalb, GA	GA	13089	45.5
Dodge, GA	GA	13091	101.3
Dooly, GA	GA	13093	–
Dougherty, GA	GA	13095	118.8
Douglas, GA	GA	13097	108.3
Early, GA	GA	13099	101.8
Echols, GA	GA	13101	–
Effingham, GA	GA	13103	65.3
Elbert, GA	GA	13105	123.7
Emanuel, GA	GA	13107	117.8
Evans, GA	GA	13109	152.3
Fannin, GA	GA	13111	98.7
Fayette, GA	GA	13113	90.4
Floyd, GA	GA	13115	149.7
Forsyth, GA	GA	13117	56.3
Franklin, GA	GA	13119	160.2
Fulton, GA	GA	13121	55.7
Gilmer, GA	GA	13123	108.1
Glascock, GA	GA	13125	–
Glynn, GA	GA	13127	152.5
Gordon, GA	GA	13129	126.1
Grady, GA	GA	13131	64.4
Greene, GA	GA	13133	115.2
Gwinnett, GA	GA	13135	58.0
Habersham, GA	GA	13137	132.3
Hall, GA	GA	13139	101.4
Hancock, GA	GA	13141	–
Haralson, GA	GA	13143	141.7
Harris, GA	GA	13145	8.4
Hart, GA	GA	13147	87.3
Heard, GA	GA	13149	–
Henry, GA	GA	13151	83.2
Houston, GA	GA	13153	115.2
Irwin, GA	GA	13155	70.9
Jackson, GA	GA	13157	98.2
Jasper, GA	GA	13159	58.6
Jeff Davis, GA	GA	13161	130.2
Jefferson, GA	GA	13163	104.3
Jenkins, GA	GA	13165	46.6
Johnson, GA	GA	13167	43.3
Jones, GA	GA	13169	27.3
Lamar, GA	GA	13171	74.8
Lanier, GA	GA	13173	–
Laurens, GA	GA	13175	175.8
Lee, GA	GA	13177	36.2
Liberty, GA	GA	13179	48.3
Lincoln, GA	GA	13181	–
Long, GA	GA	13183	–
Lowndes, GA	GA	13185	98.5
Lumpkin, GA	GA	13187	65.8
McDuffie, GA	GA	13189	150.9
McIntosh, GA	GA	13191	65.4
Macon, GA	GA	13193	67.3
Madison, GA	GA	13195	101.3
Marion, GA	GA	13197	–
Meriwether, GA	GA	13199	33.0
Miller, GA	GA	13201	135.5
Mitchell, GA	GA	13205	71.3
Monroe, GA	GA	13207	73.2
Montgomery, GA	GA	13209	–
Morgan, GA	GA	13211	49.5
Murray, GA	GA	13213	74.3
Muscogee, GA	GA	13215	108.2
Newton, GA	GA	13217	88.3
Oconee, GA	GA	13219	74.4
Oglethorpe, GA	GA	13221	–
Paulding, GA	GA	13223	74.2
Peach, GA	GA	13225	84.6
Pickens, GA	GA	13227	132.6
Pierce, GA	GA	13229	48.8
Pike, GA	GA	13231	–
Polk, GA	GA	13233	149.1
Pulaski, GA	GA	13235	92.2
Putnam, GA	GA	13237	62.3
Quitman, GA	GA	13239	–
Rabun, GA	GA	13241	181.2
Randolph, GA	GA	13243	128.5
Richmond, GA	GA	13245	93.2
Rockdale, GA	GA	13247	97.5
Schley, GA	GA	13249	–
Screven, GA	GA	13251	47.0
Seminole, GA	GA	13253	111.4
Spalding, GA	GA	13255	134.5
Stephens, GA	GA	13257	142.7
Stewart, GA	GA	13259	76.0
Sumter, GA	GA	13261	93.6
Talbot, GA	GA	13263	–
Taliaferro, GA	GA	13265	–
Tattnall, GA	GA	13267	65.7
Taylor, GA	GA	13269	36.6
Telfair, GA	GA	13271	28.7
Terrell, GA	GA	13273	–
Thomas, GA	GA	13275	95.2
Tift, GA	GA	13277	125.2
Toombs, GA	GA	13279	186.8
Towns, GA	GA	13281	77.4
Treutlen, GA	GA	13283	–
Troup, GA	GA	13285	81.8
Turner, GA	GA	13287	83.5
Twiggs, GA	GA	13289	5.2
Union, GA	GA	13291	147.3
Upson, GA	GA	13293	100.5
Walker, GA	GA	13295	39.7
Walton, GA	GA	13297	100.0
Ware, GA	GA	13299	229.7
Warren, GA	GA	13301	–
Washington, GA	GA	13303	90.3
Wayne, GA	GA	13305	132.4
Webster, GA	GA	13307	–
Wheeler, GA	GA	13309	–
White, GA	GA	13311	65.5
Whitfield, GA	GA	13313	78.7
Wilcox, GA	GA	13315	–
Wilkes, GA	GA	13317	119.6
Wilkinson, GA	GA	13319	–
Worth, GA	GA	13321	76.9
Hawaii, HI	HI	15001	74.9
Honolulu, HI	HI	15003	33.2
Kalawao, HI	HI	15005	–
Kauai, HI	HI	15007	88.9
Maui, HI	HI	15009	59.8
Adair, IA	IA	19001	38.2
Adams, IA	IA	19003	101.6
Allamakee, IA	IA	19005	30.2
Appanoose, IA	IA	19007	88.7
Audubon, IA	IA	19009	31.8
Benton, IA	IA	19011	–
Black Hawk, IA	IA	19013	71.6
Boone, IA	IA	19015	33.5
Bremer, IA	IA	19017	18.8
Buchanan, IA	IA	19019	37.0
Buena Vista, IA	IA	19021	50.0
Butler, IA	IA	19023	36.4
Calhoun, IA	IA	19025	41.4
Carroll, IA	IA	19027	68.7
Cass, IA	IA	19029	77.5
Cedar, IA	IA	19031	20.0
Cerro Gordo, IA	IA	19033	88.2
Cherokee, IA	IA	19035	45.0
Chickasaw, IA	IA	19037	23.5
Clarke, IA	IA	19039	67.3
Clay, IA	IA	19041	77.7
Clayton, IA	IA	19043	55.0
Clinton, IA	IA	19045	66.7
Crawford, IA	IA	19047	50.5
Dallas, IA	IA	19049	21.9
Davis, IA	IA	19051	36.9
Decatur, IA	IA	19053	–
Delaware, IA	IA	19055	32.8
Des Moines, IA	IA	19057	88.6
Dickinson, IA	IA	19059	51.6
Dubuque, IA	IA	19061	55.7
Emmet, IA	IA	19063	47.6
Fayette, IA	IA	19065	73.3
Floyd, IA	IA	19067	63.2
Franklin, IA	IA	19069	26.2
Fremont, IA	IA	19071	47.0
Greene, IA	IA	19073	60.6
Grundy, IA	IA	19075	8.1
Guthrie, IA	IA	19077	6.8
Hamilton, IA	IA	19079	57.8
Hancock, IA	IA	19081	33.9
Hardin, IA	IA	19083	51.2
Harrison, IA	IA	19085	58.1
Henry, IA	IA	19087	43.0
Howard, IA	IA	19089	41.9
Humboldt, IA	IA	19091	38.3
Ida, IA	IA	19093	84.5
Iowa, IA	IA	19095	11.3
Jackson, IA	IA	19097	31.2
Jasper, IA	IA	19099	86.9
Jefferson, IA	IA	19101	71.0
Johnson, IA	IA	19103	37.2
Jones, IA	IA	19105	14.8
Keokuk, IA	IA	19107	15.5
Kossuth, IA	IA	19109	31.0
Lee, IA	IA	19111	71.0
Linn, IA	IA	19113	57.6
Louisa, IA	IA	19115	16.9
Lucas, IA	IA	19117	55.2
Lyon, IA	IA	19119	22.7
Madison, IA	IA	19121	32.5
Mahaska, IA	IA	19123	78.1
Marion, IA	IA	19125	54.7
Marshall, IA	IA	19127	67.6
Mills, IA	IA	19129	27.8
Mitchell, IA	IA	19131	29.7
Monona, IA	IA	19133	75.8
Monroe, IA	IA	19135	64.9
Montgomery, IA	IA	19137	80.6
Muscatine, IA	IA	19139	58.6
O’Brien, IA	IA	19141	26.3
Osceola, IA	IA	19143	–
Page, IA	IA	19145	64.7
Palo Alto, IA	IA	19147	44.9
Plymouth, IA	IA	19149	33.4
Pocahontas, IA	IA	19151	61.3
Polk, IA	IA	19153	81.3
Pottawattamie, IA	IA	19155	86.4
Poweshiek, IA	IA	19157	47.9
Ringgold, IA	IA	19159	68.8
Sac, IA	IA	19161	34.4
Scott, IA	IA	19163	78.3
Shelby, IA	IA	19165	42.7
Sioux, IA	IA	19167	20.6
Story, IA	IA	19169	31.1
Tama, IA	IA	19171	10.5
Taylor, IA	IA	19173	59.4
Union, IA	IA	19175	57.7
Van Buren, IA	IA	19177	–
Wapello, IA	IA	19179	99.4
Warren, IA	IA	19181	33.7
Washington, IA	IA	19183	28.1
Wayne, IA	IA	19185	92.4
Webster, IA	IA	19187	74.3
Winnebago, IA	IA	19189	32.3
Winneshiek, IA	IA	19191	47.5
Woodbury, IA	IA	19193	55.2
Worth, IA	IA	19195	–
Wright, IA	IA	19197	60.3
Ada, ID	ID	16001	79.4
Adams, ID	ID	16003	–
Bannock, ID	ID	16005	95.2
Bear Lake, ID	ID	16007	114.6
Benewah, ID	ID	16009	111.3
Bingham, ID	ID	16011	55.9
Blaine, ID	ID	16013	50.3
Boise, ID	ID	16015	–
Bonner, ID	ID	16017	79.4
Bonneville, ID	ID	16019	91.0
Boundary, ID	ID	16021	103.6
Butte, ID	ID	16023	97.7
Camas, ID	ID	16025	–
Canyon, ID	ID	16027	73.9
Caribou, ID	ID	16029	–
Cassia, ID	ID	16031	108.2
Clark, ID	ID	16033	–
Clearwater, ID	ID	16035	98.5
Custer, ID	ID	16037	21.0
Elmore, ID	ID	16039	51.1
Franklin, ID	ID	16041	93.0
Fremont, ID	ID	16043	35.2
Gem, ID	ID	16045	102.8
Gooding, ID	ID	16047	58.8
Idaho, ID	ID	16049	58.7
Jefferson, ID	ID	16051	37.2
Jerome, ID	ID	16053	58.5
Kootenai, ID	ID	16055	97.8
Latah, ID	ID	16057	74.1
Lemhi, ID	ID	16059	80.9
Lewis, ID	ID	16061	142.3
Lincoln, ID	ID	16063	–
Madison, ID	ID	16065	56.7
Minidoka, ID	ID	16067	33.9
Nez Perce, ID	ID	16069	143.3
Oneida, ID	ID	16071	–
Owyhee, ID	ID	16073	–
Payette, ID	ID	16075	46.1
