CDC Archive
This page is archived for historical purposes and is no longer being updated.

This is archived content from the CDC website. The information here may be outdated and links may no longer function. Go to CDC Home for all other recent information.

View in CDC ArchiveGo to CDC Archive Home Page
Skip directly to site contentSkip directly to search
U.S. County Opioid Dispensing Rates, 2006
Print
Related Pages
U.S. Opioid Dispensing Rate Maps

U.S. County Opioid Dispensing Rates, 2007 >

US County Prescribing Rates, 2006
About the Maps
For detailed information about these maps, including data sources, please visit the U.S. Opioid Dispensing Rate Maps page.

U.S. County Opioid Dispensing Rates, 2006
County	State	County FIPS Code	Opioid Dispensing Rate per 100
Henry, IA	IA	19087	54.8
Howard, IA	IA	19089	51.2
Humboldt, IA	IA	19091	43.7
Ida, IA	IA	19093	83.9
Iowa, IA	IA	19095	10.7
Jackson, IA	IA	19097	36.0
Jasper, IA	IA	19099	70.9
Jefferson, IA	IA	19101	74.5
Johnson, IA	IA	19103	38.4
Jones, IA	IA	19105	13.1
Keokuk, IA	IA	19107	13.0
Kossuth, IA	IA	19109	37.2
Lee, IA	IA	19111	76.2
Linn, IA	IA	19113	61.4
Louisa, IA	IA	19115	23.4
Lucas, IA	IA	19117	80.2
Lyon, IA	IA	19119	29.7
Madison, IA	IA	19121	50.7
Mahaska, IA	IA	19123	84.1
Marion, IA	IA	19125	63.6
Marshall, IA	IA	19127	71.1
Mills, IA	IA	19129	32.8
Mitchell, IA	IA	19131	27.7
Monona, IA	IA	19133	82.6
Monroe, IA	IA	19135	82.5
Montgomery, IA	IA	19137	97.4
Muscatine, IA	IA	19139	65.7
O’Brien, IA	IA	19141	35.9
Osceola, IA	IA	19143	20.9
Page, IA	IA	19145	69.2
Palo Alto, IA	IA	19147	48.3
Plymouth, IA	IA	19149	35.8
Pocahontas, IA	IA	19151	37.7
Polk, IA	IA	19153	82.3
Pottawattamie, IA	IA	19155	88.1
Poweshiek, IA	IA	19157	56.8
Ringgold, IA	IA	19159	78.0
Sac, IA	IA	19161	35.0
Scott, IA	IA	19163	76.3
Shelby, IA	IA	19165	29.2
Sioux, IA	IA	19167	25.0
Story, IA	IA	19169	34.9
Tama, IA	IA	19171	19.5
Taylor, IA	IA	19173	46.9
Union, IA	IA	19175	80.8
Van Buren, IA	IA	19177	–
Wapello, IA	IA	19179	94.0
Warren, IA	IA	19181	46.3
Washington, IA	IA	19183	34.2
Wayne, IA	IA	19185	79.9
Webster, IA	IA	19187	77.7
Winnebago, IA	IA	19189	42.4
Winneshiek, IA	IA	19191	39.9
Woodbury, IA	IA	19193	57.7
Worth, IA	IA	19195	–
Wright, IA	IA	19197	57.8
Ada, ID	ID	16001	77.9
Adams, ID	ID	16003	–
Bannock, ID	ID	16005	83.5
Bear Lake, ID	ID	16007	108.6
Benewah, ID	ID	16009	87.6
Bingham, ID	ID	16011	51.5
Blaine, ID	ID	16013	55.9
Boise, ID	ID	16015	–
Bonner, ID	ID	16017	76.0
Bonneville, ID	ID	16019	81.7
Boundary, ID	ID	16021	102.0
Butte, ID	ID	16023	85.0
Camas, ID	ID	16025	–
Canyon, ID	ID	16027	68.3
Caribou, ID	ID	16029	–
Cassia, ID	ID	16031	104.4
Clark, ID	ID	16033	–
Clearwater, ID	ID	16035	95.4
Custer, ID	ID	16037	5.4
Elmore, ID	ID	16039	53.4
Franklin, ID	ID	16041	108.6
Fremont, ID	ID	16043	30.8
Gem, ID	ID	16045	95.7
Gooding, ID	ID	16047	56.4
Idaho, ID	ID	16049	56.9
Jefferson, ID	ID	16051	33.3
